Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ACTPOL-534,507,543 and 484",Chrome 76.0.3809.100,Enhancements Vreemdelingen Module(V 6.6),,2019-08-22 20:02:01,2019-08-22 20:09:49,7m - 47.502s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-534,Chrome 76.0.3809.100,"Description:

 

After selecting the record in ""Opsporing "" and clicking on Verdachte. it's displayed all fields are invisible.

 

Solution:

Data should be displayed in proper format .

 

Test plan:

Step 1: Go to Opsporing: Case Screening Select existing user

Step 2: Go to Verdachte

Step 3: View on Verdachte it is displaying invisible fields.

 

Navigation:
delay(2),Chrome 76.0.3809.100,,,2019-08-22 20:09:32,2019-08-22 20:09:34,2.005s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Voertuig""))",Chrome 76.0.3809.100,Click Voertuig tab,,2019-08-22 20:09:34,2019-08-22 20:09:34,0.322s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-22 20:09:34,2019-08-22 20:09:35,1.004s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Bescheiden""))",Chrome 76.0.3809.100,Click Bescheiden tab.,,2019-08-22 20:09:35,2019-08-22 20:09:36,0.812s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-22 20:09:36,2019-08-22 20:09:37,1.008s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Bestuurder new""))",Chrome 76.0.3809.100,Click  Bestuurder tab,,2019-08-22 20:09:37,2019-08-22 20:09:43,5.927s,PASSED
delay(4),Chrome 76.0.3809.100,,,2019-08-22 20:09:43,2019-08-22 20:09:47,4.005s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/nieuw persoon edit default""))",Chrome 76.0.3809.100,Edit Select persoon,,2019-08-22 20:09:47,2019-08-22 20:09:47,0.725s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-22 20:09:47,2019-08-22 20:09:48,1.004s,PASSED
"selectOptionByLabel(findTestObject(""JIRA/A Relese 6.6/ACTPOL-484/Type verzekering""), ""Comprehensive"", false)",Chrome 76.0.3809.100,Select required drop down :: Type verzekering,,2019-08-22 20:09:48,2019-08-22 20:09:49,0.463s,PASSED
